original_path,proposed_path,collision,action
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/about.html,about.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/artist-signupl.html,artist-signupl.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/contact.html,contact.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/creators-directorybe46.html,creators-directorybe46.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/estate-services.html,estate-services.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/index.html,index.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/index456e.html,index456e.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/products.html,products.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/products0b4f.html,products0b4f.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/products1098.html,products1098.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/products13b7.html,products13b7.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/products262c.html,products262c.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/products38a7.html,products38a7.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/products3b3c.html,products3b3c.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/products5e82.html,products5e82.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/products6d48.html,products6d48.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/products7729.html,products7729.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/products7aa9.html,products7aa9.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/products80e1.html,products80e1.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/products8525.html,products8525.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/products8b40.html,products8b40.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/products960a.html,products960a.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/productsb7a9.html,productsb7a9.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/productsc17a.html,productsc17a.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/productsc973.html,productsc973.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/productsd181.html,productsd181.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/productsd949.html,productsd949.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/productsdbd5.html,productsdbd5.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/productsdf39.html,productsdf39.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/productsf22d.html,productsf22d.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/thank-you.html,thank-you.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/trade-program.html,trade-program.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/urlhere.html,urlhere.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/-pair-of-french-empire-style-wooden-armchairs-with-owl-head.html,product\-pair-of-french-empire-style-wooden-armchairs-with-owl-head.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/032030.html,product\032030.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/064026.html,product\064026.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/19th-century-indonesian-painted-wood-mile-marker-carving.html,product\19th-century-indonesian-painted-wood-mile-marker-carving.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/ab-glas-and-trä-swedish-mid-century-tall-teak-framed-entry-mirror.html,product\ab-glas-and-trä-swedish-mid-century-tall-teak-framed-entry-mirror.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/african-congo-early-20th-century-male-figure-wrapped-in-raffia-burlap-.html,product\african-congo-early-20th-century-male-figure-wrapped-in-raffia-burlap-.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/african-d-r-congo-reliquary-basket-with-four-figures.html,product\african-d-r-congo-reliquary-basket-with-four-figures.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/african-gabon-mid-20th-century-carved-wooden-ambete-male-figure.html,product\african-gabon-mid-20th-century-carved-wooden-ambete-male-figure.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/african-ivory-coast-early-21st-century-carved-wooden-kafigueledio-senoufo-fetish-figure-.html,product\african-ivory-coast-early-21st-century-carved-wooden-kafigueledio-senoufo-fetish-figure-.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/african-ivory-coast-wooden-figure-with-bowl.html,product\african-ivory-coast-wooden-figure-with-bowl.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/african-mali-late-20th-century-carved-wooden-bamana-maternity-figure-with-baby-.html,product\african-mali-late-20th-century-carved-wooden-bamana-maternity-figure-with-baby-.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/african-nigeria-20th-century-carved-painted-wood-igbo-female-village-guardian-figure.html,product\african-nigeria-20th-century-carved-painted-wood-igbo-female-village-guardian-figure.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/african-tikar-bronze-stool-cameroon.html,product\african-tikar-bronze-stool-cameroon.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/african-wooden-fertility-god-figure.html,product\african-wooden-fertility-god-figure.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-21st-century-sculptures-daric-harvie.html,product\american-21st-century-sculptures-daric-harvie.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-carousel-style-turkish-figure.html,product\american-carousel-style-turkish-figure.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-conetemporary-sabored-leg-black-slipper-chair-.html,product\american-conetemporary-sabored-leg-black-slipper-chair-.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-contemporary-art-glass-tropical-fish.html,product\american-contemporary-art-glass-tropical-fish.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-contemporary-black-leather-side-chair-.html,product\american-contemporary-black-leather-side-chair-.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-contemporary-blue-and-black-mixed-media-orb.html,product\american-contemporary-blue-and-black-mixed-media-orb.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-contemporary-brown-ceramic-sphere.html,product\american-contemporary-brown-ceramic-sphere.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-contemporary-chrome-wall-mirror.html,product\american-contemporary-chrome-wall-mirror.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-contemporary-circular-metal-sculpture.html,product\american-contemporary-circular-metal-sculpture.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-contemporary-curtis-jere-oxidized-brass-wall-sculpture.html,product\american-contemporary-curtis-jere-oxidized-brass-wall-sculpture.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-contemporary-custom-horse-bench.html,product\american-contemporary-custom-horse-bench.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-contemporary-green-ceramic-sphere.html,product\american-contemporary-green-ceramic-sphere.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-contemporary-mustard-yellow-velvet-chairs.html,product\american-contemporary-mustard-yellow-velvet-chairs.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-contemporary-steel-mesh-stacking-chairs.html,product\american-contemporary-steel-mesh-stacking-chairs.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-contemporary-suede-bench-with-side-arms-.html,product\american-contemporary-suede-bench-with-side-arms-.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-country-style-antique-door-coffee-table.html,product\american-country-style-antique-door-coffee-table.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-federal-gilt-eagle-figure.html,product\american-federal-gilt-eagle-figure.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/American-Federal-style-mahogany-and-gold-wall-mirror-.html,product\American-Federal-style-mahogany-and-gold-wall-mirror-.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-federal-style-small-hand-painted-floral-mirror.html,product\american-federal-style-small-hand-painted-floral-mirror.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-federal-style-tri-panel-gold-leaf-mirror.html,product\american-federal-style-tri-panel-gold-leaf-mirror.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-mid-century-brown-channeled-leather-bench.html,product\american-mid-century-brown-channeled-leather-bench.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-mid-century-brown-leather-lounge-chairs-pair.html,product\american-mid-century-brown-leather-lounge-chairs-pair.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-mid-century-cubist-mirror.html,product\american-mid-century-cubist-mirror.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-mid-century-gilt-wall-mirror-with-geometric-Frame-.html,product\american-mid-century-gilt-wall-mirror-with-geometric-Frame-.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-mid-century-modern-brutalist-end-table-with-rotating-top.html,product\american-mid-century-modern-brutalist-end-table-with-rotating-top.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-mid-century-modern-onyx-and-brass-sculpture-of-a-globe-curtis-jere.html,product\american-mid-century-modern-onyx-and-brass-sculpture-of-a-globe-curtis-jere.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-mid-century-modern-wood-slice-sculpture.html,product\american-mid-century-modern-wood-slice-sculpture.html,No,Move
C:/Users/user pc/OneDrive/Documents/carter/REYNOLDS_ANTIQUE_HOUSE/newel.com/product/american-mid-century-octagon-shaped-wall-mirror-.html,product\american-mid-century-octagon-shaped-wall-mirror-.html,No,Move
