id,sku,field,existing_value,archive_value,final_value,reason
product-nwl6949,NWL6949,title,Set of 6 Camille Gauthier French Art Nouveau Ombelle Foliate Carved Side Chairs,Set of 6 Camille Gauthier French Art Nouveau Ombelle Foliate Carved Side Chairs,Set of 6 Camille Gauthier French Art Nouveau Ombelle Foliate Carved Side Chairs,unchanged-same
product-nwl6949,NWL6949,description,"SET of 6 French Art Nouveau side chairs with the backs having a centered carved ombelle and foliate reticulated frame (NOTE: 2 upholstered in a gold velvet damask, 4 unupholstered) (PRICED AS SET)(CAMILLE GAUTHIER).","SET of 6 French Art Nouveau side chairs with the backs having a centered carved ombelle and foliate reticulated frame (NOTE: 2 upholstered in a gold velvet damask, 4 unupholstered) (PRICED AS SET)(CAMILLE GAUTHIER).","SET of 6 French Art Nouveau side chairs with the backs having a centered carved ombelle and foliate reticulated frame (NOTE: 2 upholstered in a gold velvet damask, 4 unupholstered) (PRICED AS SET)(CAMILLE GAUTHIER).",unchanged-same
product-nwl6949,NWL6949,dimensions,,,,both-empty
product-nwl6949,NWL6949,price,"$18,500","$18,500","$18,500",unchanged-same
product-nwl6949,NWL6949,material,,"Carved, upholstered, velvet, wood","Carved, upholstered, velvet, wood",filled-from-archive
product-nwl6949,NWL6949,style,Art Nouveau,Art Nouveau,Art Nouveau,unchanged-same
product-nwl6949,NWL6949,period,,,,both-empty
product-nwl6949,NWL6949,availability,,,,both-empty
product-duf0266b,DUF0266B,title,Edward J Wormley for Dunbar Furniture Co. Mid-Century American Walnut Chest,Edward J Wormley for Dunbar Furniture Co. Mid-Century American Walnut Chest,Edward J Wormley for Dunbar Furniture Co. Mid-Century American Walnut Chest,unchanged-same
product-duf0266b,DUF0266B,description,"American Mid-Century walnut cabinet with two tambour doors, the left with 4 larger pull out drawers, and the right with 8 drawers of alternating size, resting on four U-shaped bentwood legs. (EDWARD J WORMLEY FOR DUNBAR FURNITURE CO.)(Similar piece: DUF0266).","American Mid-Century walnut cabinet with two tambour doors, the left with 4 larger pull out drawers, and the right with 8 drawers of alternating size, resting on four U-shaped bentwood legs. (EDWARD J WORMLEY FOR DUNBAR FURNITURE CO.)(Similar piece: DUF0266).","American Mid-Century walnut cabinet with two tambour doors, the left with 4 larger pull out drawers, and the right with 8 drawers of alternating size, resting on four U-shaped bentwood legs. (EDWARD J WORMLEY FOR DUNBAR FURNITURE CO.)(Similar piece: DUF0266).",unchanged-same
product-duf0266b,DUF0266B,dimensions,,,,both-empty
product-duf0266b,DUF0266B,price,"$12,900","$12,900","$12,900",unchanged-same
product-duf0266b,DUF0266B,material,,"Walnut, wood","Walnut, wood",filled-from-archive
product-duf0266b,DUF0266B,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-duf0266b,DUF0266B,period,,,,both-empty
product-duf0266b,DUF0266B,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-nwl7895,NWL7895,title,Continental German Louis XV style (18th Century) Inlaid Bombe Shaped Commode,Continental German Louis XV style (18th Century) Inlaid Bombe Shaped Commode,Continental German Louis XV style (18th Century) Inlaid Bombe Shaped Commode,unchanged-same
product-nwl7895,NWL7895,description,"Continental German (Louis XV style) 18th Century inlaid bombe shaped burl wood (possibly walnut) commode with marquetry inlay depicting a hunting scene, with 3 drawers and ornamented gilt bronze handles standing on cabriole legs..","Continental German (Louis XV style) 18th Century inlaid bombe shaped burl wood (possibly walnut) commode with marquetry inlay depicting a hunting scene, with 3 drawers and ornamented gilt bronze handles standing on cabriole legs..","Continental German (Louis XV style) 18th Century inlaid bombe shaped burl wood (possibly walnut) commode with marquetry inlay depicting a hunting scene, with 3 drawers and ornamented gilt bronze handles standing on cabriole legs..",unchanged-same
product-nwl7895,NWL7895,dimensions,,,,both-empty
product-nwl7895,NWL7895,price,"$9,500","$9,500","$9,500",unchanged-same
product-nwl7895,NWL7895,material,,"Walnut, burl","Walnut, burl",filled-from-archive
product-nwl7895,NWL7895,style,"French, Continental","French, Continental","French, Continental",unchanged-same
product-nwl7895,NWL7895,period,,,,both-empty
product-nwl7895,NWL7895,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-055582,055582,title,Italian Venetian Grotto Seashell Tete-a-tete,Italian Venetian Grotto Seashell Tete-a-tete,Italian Venetian Grotto Seashell Tete-a-tete,unchanged-same
product-055582,055582,description,Italian Venetian Grotto (19th Century) silver-gilt carved tete-a-tete with dolphin arms and seashell design.,Italian Venetian Grotto (19th Century) silver-gilt carved tete-a-tete with dolphin arms and seashell design.,Italian Venetian Grotto (19th Century) silver-gilt carved tete-a-tete with dolphin arms and seashell design.,unchanged-same
product-055582,055582,dimensions,,,,both-empty
product-055582,055582,price,"$32,500","$32,500","$32,500",unchanged-same
product-055582,055582,material,,"Ash, carved, gilt / giltwood, silver","Ash, carved, gilt / giltwood, silver",filled-from-archive
product-055582,055582,style,Italian,Italian,Italian,unchanged-same
