source_path,source_product_identifier,sku,current_product_id,in_current_keep_set,image_reference_count,valid_image_count,image_complete,exclusion_reason
newel.com/product/-pair-of-french-empire-style-wooden-armchairs-with-owl-head.html,Pair of Continental Rustic Style Wooden Armchairs with Carved Owl Head Armrests,NWL2746,product-nwl2746,yes,90,0,yes,
newel.com/product/032030.html,Art Deco bronze figure of a man wearing a loin cloth running,032030,product-032030,yes,66,64,yes,
newel.com/product/064026.html,Contemporary Makonde Style Hand Carved Wooden Sculpture on a Base,064026,product-064026,yes,90,88,yes,
newel.com/product/19th-century-indonesian-painted-wood-mile-marker-carving.html,19th Century Indonesian Painted Wood Mile Marker Carving,NWL6761,product-nwl6761,yes,66,66,yes,
newel.com/product/ab-glas-and-trä-swedish-mid-century-tall-teak-framed-entry-mirror.html,AB Glas and Trä Swedish Mid-Century Tall Teak Framed Entry Mirror,DUA0034,product-dua0034,yes,55,0,yes,
newel.com/product/african-congo-early-20th-century-male-figure-wrapped-in-raffia-burlap-.html,African Congo Early 20th Century Male Figure Wrapped in Raffia Burlap,NWL8576,product-nwl8576,yes,83,0,yes,
newel.com/product/african-d-r-congo-reliquary-basket-with-four-figures.html,African D.R. Congo Reliquary Basket With Four Figures,NWL8578,product-nwl8578,yes,77,0,yes,
newel.com/product/african-gabon-mid-20th-century-carved-wooden-ambete-male-figure.html,African Gabon Mid 20th Century Carved Wooden Ambete Male Figure,NWL8575,product-nwl8575,yes,83,0,yes,
newel.com/product/african-ivory-coast-early-21st-century-carved-wooden-kafigueledio-senoufo-fetish-figure-.html,African Ivory Coast Early 21st Century Carved Wooden Kafigueledio Senoufo Fetish Figure,NWL8583,product-nwl8583,yes,71,42,yes,
newel.com/product/african-ivory-coast-wooden-figure-with-bowl.html,African Ivory Coast Wooden Figure of Male with Bowl,NWL8574,product-nwl8574,yes,77,0,yes,
newel.com/product/african-mali-late-20th-century-carved-wooden-bamana-maternity-figure-with-baby-.html,African Mali Late 20th Century Carved Wooden Bamana Maternity Figure with Baby,NWL8577,product-nwl8577,yes,71,0,yes,
newel.com/product/african-nigeria-20th-century-carved-painted-wood-igbo-female-village-guardian-figure.html,African Nigeria 20th Century Carved & Painted Wood Igbo Female Village Guardian Figure,NWL6927,product-nwl6927,yes,72,0,yes,
newel.com/product/african-tikar-bronze-stool-cameroon.html,African Tikar Bronze Stool,NWL7974,product-nwl7974,yes,52,52,yes,
newel.com/product/african-wooden-fertility-god-figure.html,African Wooden Fertility God Figure,JDB073,product-jdb073,yes,72,0,yes,
newel.com/product/american-21st-century-sculptures-daric-harvie.html,"American 21st Century Sculptures, Daric Harvie",REG4504,product-reg4504,yes,10,10,yes,
newel.com/product/american-carousel-style-turkish-figure.html,American Carousel Style Turkish Figure,037844,product-037844,yes,17,14,yes,
newel.com/product/american-conetemporary-sabored-leg-black-slipper-chair-.html,American Conetemporary Sabored Leg Black Slipper Chair,REG5399,product-reg5399,yes,66,66,yes,
newel.com/product/american-contemporary-art-glass-tropical-fish.html,American Contemporary Art Glass Tropical Fish,064102,product-064102,yes,60,60,yes,
newel.com/product/american-contemporary-black-leather-side-chair-.html,American Contemporary Black Leather Side Chair,REG5398,product-reg5398,yes,60,60,yes,
newel.com/product/american-contemporary-blue-and-black-mixed-media-orb.html,American Contemporary Blue and Black Mixed Media Orb,REG9104,product-reg9104,yes,78,78,yes,
newel.com/product/american-contemporary-brown-ceramic-sphere.html,American Contemporary Brown Ceramic Sphere,REG9127,product-reg9127,yes,66,66,yes,
